expressionism oil painting, Lavender, Arthur Fellig Weegee
mannerism oil painting, Tulip, Leonardo da Vinci
3D Modeling, Lilac, Garry Winogrand
Digital Art, Hydrangea, Bacon
realism oil painting, Petunia, Warhol
mannerism oil painting, Sunflower, Hopper
Neo-Conceptualism, Lilac, Magritte
surrealism oil painting, Lavender, Gauguin
Printmaking, Gerbera, Eugene Atget
Graffiti, Magnolia, Leonardo da Vinci
Etching, Aster, Bacon
Pixel Art, Daffodil, Freud
Surrealist Art, Hydrangea, Malevich
Ink Drawing, Freesia, Eugene Atget
Mosaic, Hibiscus, Walker Evans
Collage, Carnation, Helmut Newton
tenebrism oil painting, Lily, Vermeer
cubism oil painting, Jasmine, Henri Cartier-Bresson
Contemporary Art, Sunflower, Richard Avedon
hyperrealism oil painting, Chrysanthemum, Goya
cubism oil painting, Lavender, Bruegel
tenebrism oil painting, Poppy, Hockney
Pop Art, Lavender, Hockney
Neo-Conceptualism, Daffodil, Marina Abramovic
vanguardism oil painting, Orchid, Pollock
renaissance oil painting, Lilac, Dali
romanticism oil painting, Jasmine, Vermeer
hyperrealism oil painting, Lily, Dali
Abstract Expressionism, Magnolia, Kahlo
Street Art, Camellia, Magritte
Surrealist Art, Peony, Bruegel
fauvism oil painting, Orchid, Bruegel
Graffiti, Daffodil, Klee
Abstract Expressionism, Camellia, Helmut Newton
Ink Drawing, Iris, Henri Cartier-Bresson
Environmental Art, Lotus, Turner
impressionism oil painting, Lily, Basquiat
modernism oil painting, Lily, Vettriano
vanguardism oil painting, Zinnia, Renoir
vanguardism oil painting, Crocus, Leonardo da Vinci
Op Art, Pansy, Irving Penn
Kinetic Art, Iris, Nan Goldin
romanticism oil painting, Lilac, Arthur Fellig Weegee
mannerism oil painting, Hydrangea, Raphael
Abstract Painting, Rose, Degas
Pixel Art, Pansy, Garry Winogrand
Land Art, Carnation, Richard Avedon
Neo-Conceptualism, Camellia, Vettriano
baroque oil painting, Daffodil, Lichtenstein
mannerism oil painting, Crocus, Vanessa Beecroft
Hard-Edge Painting, Zinnia, E.J. Bellocq
modernism oil painting, Orchid, Arthur Fellig Weegee
